_input,_num,_widgetName,_source,_resultNumber,_pageUrl,ticker_symbol,ticker_insurance,company_name,dividend_summary_data
,1,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,1,http://www.nasdaq.com/symbol/TFSC/dividend-history,TFSC $9.77 * unch unch Get TFSC Alerts,TFSC,1347 Capital Corp. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,2,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,2,http://www.nasdaq.com/symbol/TFSCR/dividend-history,TFSCR $0.43 * unch unch Get TFSCR Alerts,TFSCR,1347 Capital Corp. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,3,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,3,http://www.nasdaq.com/symbol/TFSCU/dividend-history,TFSCU $10.27 * unch unch Get TFSCU Alerts,TFSCU,1347 Capital Corp. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,4,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,4,http://www.nasdaq.com/symbol/TFSCW/dividend-history,TFSCW $0.235 * unch unch Get TFSCW Alerts,TFSCW,1347 Capital Corp. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,5,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,5,http://www.nasdaq.com/symbol/PIH/dividend-history,PIH $8 * 0.12 1.52% Get PIH Alerts,PIH,1347 Property Insurance Holdings Inc. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,6,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,6,http://www.nasdaq.com/symbol/FLWS/dividend-history,$9.63 * 0.20 2.03% Get FLWS Alerts,FLWS,1-800 FLOWERS.COM Inc. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,7,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,7,http://www.nasdaq.com/symbol/FCTY/dividend-history,$7.4 * unch unch Get FCTY Alerts,FCTY,1st Century Bancshares Inc Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,8,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,8,http://www.nasdaq.com/symbol/FCCY/dividend-history,FCCY $11.55 * 0.08 0.69% Get FCCY Alerts,FCCY,1st Constitution Bancorp (NJ) Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,9,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,9,http://www.nasdaq.com/symbol/SRCE/dividend-history,$31.42 * 0.48 1.55% Get SRCE Alerts,SRCE,1st Source Corporation Dividend Date & History,Ex/Eff Date Type Cash Amount Declaration Date Record Date Payment Date 7/31/2015 Cash 0.18 7/22/2015 8/4/2015 8/14/2015 5/1/2015 Cash 0.18 4/23/2015 5/5/2015 5/15/2015 1/30/2015 Cash 0.18 1/21/2015 2/3/2015 2/13/2015 11/3/2014 Cash 0.18 10/23/2014 11/5/2014 11/14/2014 8/1/2014 Cash 0.18 7/24/2014 8/5/2014 8/15/2014 5/1/2014 Cash 0.18 4/24/2014 5/5/2014 5/15/2014 1/31/2014 Cash 0.17 1/22/2014 2/4/2014 2/14/2014 11/1/2013 Cash 0.17 10/24/2013 11/5/2013 11/15/2013 8/1/2013 Cash 0.17 7/25/2013 8/5/2013 8/15/2013 5/3/2013 Cash 0.17 4/25/2013 5/7/2013 5/15/2013 1/31/2013 Cash 0.17 1/22/2013 2/4/2013 2/15/2013 11/1/2012 Cash 0.17 10/25/2012 11/5/2012 11/15/2012 8/2/2012 Cash 0.17 7/26/2012 8/6/2012 8/15/2012 5/3/2012 Cash 0.16 4/26/2012 5/7/2012 5/15/2012 2/2/2012 Cash 0.16 1/19/2012 2/6/2012 2/15/2012 11/2/2011 Cash 0.16 10/20/2011 11/4/2011 11/14/2011 8/3/2011 Cash 0.16 7/21/2011 8/5/2011 8/15/2011 5/4/2011 Cash 0.16 4/21/2011 5/6/2011 5/16/2011 2/2/2011 Cash 0.16 1/20/2011 2/4/2011 2/15/2011 11/3/2010 Cash 0.16 10/21/2010 11/5/2010 11/15/2010 8/4/2010 Cash 0.15 7/22/2010 8/6/2010 8/16/2010 5/3/2010 Cash 0.15 4/22/2010 5/5/2010 5/17/2010 2/4/2010 Cash 0.15 1/21/2010 2/8/2010 2/16/2010 11/4/2009 Cash 0.16 -- 11/6/2009 11/16/2009 8/6/2009 Cash 0.15 7/30/2009 8/10/2009 8/17/2009 5/1/2009 Cash 0.14 4/23/2009 5/5/2009 5/15/2009 1/30/2009 Cash 0.14 1/22/2009 2/3/2009 2/13/2009 10/31/2008 Cash 0.16 10/23/2008 11/4/2008 11/14/2008 8/1/2008 Cash 0.14 7/24/2008 8/5/2008 8/15/2008 5/1/2008 Cash 0.14 4/24/2008 5/5/2008 5/15/2008 2/1/2008 Cash 0.14 1/24/2008 2/5/2008 2/15/2008 11/1/2007 Cash 0.14 10/25/2007 11/5/2007 11/15/2007 8/2/2007 Cash 0.14 7/19/2007 8/6/2007 8/15/2007 5/3/2007 Cash 0.14 4/26/2007 5/7/2007 5/15/2007 2/1/2007 Cash 0.14 1/25/2007 2/5/2007 2/15/2007 11/2/2006 Cash 0.14 10/26/2006 11/6/2006 11/15/2006 8/4/2006 Cash 0.14 7/27/2006 8/8/2006 8/15/2006 5/4/2006 Cash 0.14 4/27/2006 5/8/2006 5/15/2006 2/2/2006 Cash 0.14 1/26/2006 2/6/2006 2/15/2006 11/3/2005 Cash 0.13 -- 11/7/2005 11/15/2005 8/4/2005 Cash 0.12 7/28/2005 8/8/2005 8/15/2005 5/5/2005 Cash 0.12 4/27/2005 5/9/2005 5/16/2005 2/3/2005 Cash 0.12 1/27/2005 2/7/2005 2/14/2005 11/4/2004 Cash 0.11 10/28/2004 11/8/2004 11/15/2004 8/5/2004 Cash 0.11 7/29/2004 8/9/2004 8/16/2004 5/6/2004 Cash 0.1 4/27/2004 5/10/2004 5/17/2004 2/5/2004 Cash 0.1 1/29/2004 2/9/2004 2/17/2004 11/6/2003 Cash 0.1 10/30/2003 11/10/2003 11/17/2003 8/1/2003 Cash 0.09 7/15/2003 8/5/2003 8/15/2003 5/1/2003 Cash 0.09 -- 5/1/2003 -- 2/3/2003 Cash 0.09 -- 2/3/2003 -- 11/1/2002 Cash 0.09 -- 11/1/2002 -- 8/1/2002 Cash 0.09 -- 8/1/2002 -- 5/2/2002 Cash 0.09 -- 5/2/2002 -- 2/1/2002 Cash 0.09 -- 2/1/2002 -- 11/1/2001 Cash 0.09 -- 11/1/2001 -- 8/1/2001 Cash 0.09 -- 8/1/2001 -- 2/1/2001 Cash 0.09 -- 2/1/2001 -- 11/2/2000 Cash 0.09 -- 11/2/2000 -- 5/3/2000 Cash 0.09 -- 5/3/2000 -- 2/10/2000 Cash 0.09 -- 2/10/2000 -- 11/3/1999 Cash 0.08 -- 11/3/1999 -- 8/3/1999 Cash 0.08 -- 8/3/1999 -- 4/30/1999 Cash 0.08 -- 4/30/1999 -- 11/3/1998 Cash 0.08 -- 11/3/1998 -- 8/3/1998 Cash 0.08 -- 8/3/1998 -- 5/1/1998 Cash 0.073 -- 5/1/1998 -- 11/3/1997 Cash 0.08 -- 11/3/1997 -- 8/1/1997 Cash 0.075 -- 8/1/1997 -- 2/3/1997 Cash 0.09 -- 2/3/1997 -- 11/1/1996 Cash 0.09 -- 11/1/1996 -- 8/1/1996 Cash 0.08 -- 8/1/1996 -- 5/2/1996 Cash 0.08 -- 5/2/1996 -- 11/2/1995 Cash 0.08 -- 11/2/1995 -- 8/2/1995 Cash 0.11 -- 8/2/1995 -- 5/1/1995 Cash 0.11 -- 5/1/1995 -- 10/31/1994 Cash 0.11 -- 10/31/1994 -- 8/1/1994 Cash 0.11 -- 8/1/1994 -- 4/29/1994 Cash 0.1 -- 4/29/1994 -- 11/1/1993 Cash 0.1 -- 11/1/1993 -- 7/30/1993 Cash 0.1 -- 7/30/1993 -- 4/28/1993 Cash 0.09 -- 4/28/1993 -- 2/1/1993 Cash 0.135 -- 2/1/1993 -- 11/2/1992 Cash 0.13 -- 11/2/1992 -- 7/29/1992 Cash 0.12 -- 7/29/1992 -- 4/29/1992 Cash 0.12 -- 4/29/1992 -- 2/3/1992 Cash 0.14 -- 2/3/1992 -- 10/30/1991 Cash 0.14 -- 10/30/1991 -- 7/30/1991 Cash 0.14 -- 7/30/1991 -- 5/1/1991 Cash 0.13 -- 5/1/1991 -- 10/30/1990 Cash 0.13 -- 10/30/1990 -- 7/31/1990 Cash 0.12 -- 7/31/1990 -- 5/1/1990 Cash 0.12 -- 5/1/1990 -- 10/30/1989 Cash 0.12 -- 10/30/1989 -- 7/31/1989 Cash 0.11 -- 7/31/1989 -- 5/1/1989 Cash 0.11 -- 5/1/1989 -- 1/31/1989 Cash 0.11 -- 1/31/1989 -- 10/31/1988 Cash 0.11 -- 10/31/1988 --
,10,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,10,http://www.nasdaq.com/symbol/VNET/dividend-history,$20.27 * 0.23 1.15% Get VNET Alerts,VNET,21Vianet Group Inc. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,11,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,11,http://www.nasdaq.com/symbol/TWOU/dividend-history,$32.21 * 0.52 1.64% Get TWOU Alerts,TWOU,2U Inc. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,12,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,12,http://www.nasdaq.com/symbol/DGLD/dividend-history,DGLD $92.9052 * 0.2448 0.26% Get DGLD Alerts,DGLD,3X Inverse Gold ETN Velocityshares Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,13,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,13,http://www.nasdaq.com/symbol/DSLV/dividend-history,DSLV $72.56 * 0.914 1.24% Get DSLV Alerts,DSLV,3X Inverse Silver ETN Velocityshares Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,14,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,14,http://www.nasdaq.com/symbol/UGLD/dividend-history,UGLD $8.25 * 0.0565 0.69% Get UGLD Alerts,UGLD,3X Long Gold ETN Velocityshares Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,15,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,15,http://www.nasdaq.com/symbol/USLV/dividend-history,USLV $12.8 * 0.14 1.11% Get USLV Alerts,USLV,3X Long Silver ETN Velocityshares Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,16,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,16,http://www.nasdaq.com/symbol/JOBS/dividend-history,$30.24 * 0.05 0.17% Get JOBS Alerts,JOBS,51job Inc. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,17,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,17,http://www.nasdaq.com/symbol/SIXD/dividend-history,SIXD $4.56 * 0.06 1.33% Get SIXD Alerts,SIXD,6D Global Technologies Inc. Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,18,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,18,http://www.nasdaq.com/symbol/CAFD/dividend-history,CAFD $14.9 * 0.61 3.93% Get CAFD Alerts,CAFD,8point3 Energy Partners LP Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
,19,extractor_dividend_summary Result Data,extractor_dividend_summary Result Data,19,http://www.nasdaq.com/symbol/EGHT/dividend-history,$8.26 * 0.16 1.9% Get EGHT Alerts,EGHT,8x8 Inc Dividend Date & History,Dividend History information is presently unavailable for this company. This could indicate that the company has never provided a dividend or that a dividend is pending.
